order_id,date,product,city,quantity,unit_price,currency,notes
1001,2026-05-24,Cappuccino,Lyon,3,5.00,EUR,
1002,2026-05-18,Cappuccino,Paris,4,5.20,EUR,
1003,2026-05-21,Latte,Montréal,2,4.60,EUR,
1004,2026-05-18,Cappuccino,Montréal,1,5.20,EUR,client fidèle
1005,2026-05-17,latte,Paris,1,5.40,EUR,
1006,2026-05-22,Latte,Paris,3,4.50,EUR,
1007,2026-05-14,Latte,Montréal,4,4.70,EUR,
1008,2026-05-02,Espresso,Paris,3,3.20,EUR,
1009,2026-05-06,Latte,NA,2,4.90,EUR,
1010,2026-05-06,Moka,paris,2,5.40,EUR,
1011,2026-05-20,Latte,Lyon,3,5.10,EUR,
1012,2026-05-13,Latte,Montréal,4,4.60,EUR,
1013,2026-05-11,Latte,Paris,2,,EUR,
1014,2026-05-21,Moka,Paris,4,5.40,EUR,
1015,2026-05-15,Cappuccino,Paris,4,5.00,EUR,
1016,2026-05-26,Moka,Lyon,2,5.50,EUR,
1017,2026-05-10,Espresso,Lyon,3,3.00,EUR,
1018,2026-05-20, Latte ,Montréal,4,3.30,EUR,
1019,2026-05-09,Espresso,Lyon,1,3.20,EUR,
1020,2026-05-26,Espresso,Montréal,1,3.10,EUR,
1021,2026-05-28,Moka,Paris,1,5.60,EUR,
1022,2026-05-12,Cappuccino,Paris,1,5.30,EUR,
1023,2026-05-18,Espresso,Paris,4,3.00,EUR,
1024,2026-05-04,Moka,Lyon,?,5.40,EUR,
1025,2026-05-18,Latte,Montréal,4,5.00,EUR,
1026,2026-05-14,Latte,Lyon,1,4.50,EUR,
1027,2026-05-09,Cappuccino,Paris ,2,5.10,EUR,
1028,2026-05-28,Latte,Paris,3,5.10,EUR,
1029,2026-05-16,Latte,Paris,2,4.70,EUR,
1030,2026-05-20,Espresso,Lyon,2,,EUR,
1031,2026-05-14,Moka,Paris,3,5.50,EUR,
1032,2026-05-10,Cappuccino,Paris,2,5.10,EUR,
1033,2026-05-05,Cappuccino,Paris,3,5.10,EUR,
1034,2026-05-02,LATTE,Paris,3,4.60,EUR,
1035,2026-05-20,Espresso,Lyon,4,3.30,EUR,
1036,2026-05-25,Espresso,Paris,3,3.30,EUR,
1037,2026-05-05,Moka,Lyon,3,5.70,EUR,
1038,2026-05-16,Latte,Lyon,4,4.80,EUR,
1039,2026-05-21,Moka,Montréal,1,5.20,EUR,
1040,2026-05-19,Latte,Lyon,4,5.10,EUR,
1041,2026-05-24,Moka,Lyon,4,5.60,EUR,
1042,2026-05-25,Espresso,LYON,3,3.00,EUR,
1043,2026-05-10,Moka,Lyon,4,5.30,EUR,
1044,2026-05-03,Espresso,Paris,3,3.20,EUR,
1045,2026-05-14,Moka,Montréal,3,5.30,EUR,
1046,2026-05-02,Espresso,Paris,2,3.10,EUR,
1047,2026-05-23,Cappuccino,Montréal,4,5.00,EUR,
1048,2026-05-13,Cappuccino,Lyon,2,5.20,EUR,
1049,2026-05-09,Espresso,Paris,1,,EUR,
1050,2026-05-16,Espresso,Lyon,3,3.10,EUR,
1051,2026-05-05,Latte,Paris,4,4.50,EUR,
1052,2026-05-15,Moka,Lyon,1,5.70,EUR,
1053,2026-05-07,Latte,Lyon,3,499.00,EUR,
1054,2026-05-22,Latte,Montréal,3,5.00,EUR,
1055,2026-05-15,Cappuccino,Montréal,1,4.90,EUR,
1056,2026-05-08,Latte,Paris,3,4.90,EUR,
1057,2026-05-01,Cappuccino,Montréal,2,5.10,EUR,
1058,2026-05-16,Espresso,montréal,1,3.40,EUR,
1059,2026-05-15,Moka,Paris,4,5.80,EUR,
1060,2026-05-23,Cappuccino,Lyon,2,5.20,EUR,
1061,2026-05-20,Moka,Lyon,3,5.50,EUR,
1062,2026-05-22,Moka,NA,2,5.60,EUR,
1063,2026-05-11,Cappuccino,Montréal,4,5.10,EUR,
1064,2026-05-10,Moka,Lyon,3,5.70,EUR,
1065,2026-05-20,Cappuccino,Montréal,1,5.10,EUR,
1066,2026-05-08,Moka,Lyon,3,5.70,EUR,
1067,2026-05-06,Cappuccino,Montréal,4,5.40,EUR,
1068,2026-05-03,Cappuccino,Lyon,2,5.40,EUR,
1069,2026-05-13,Cappuccino,Lyon,3,5.30,EUR,
1070,2026-05-05,Cappuccino,Paris,1,5.00,EUR,
1071,2026-05-24,Espresso,Montréal,3,2.90,EUR,commande annulée
1072,2026-05-20,Latte,Paris,2,5.00,EUR,
1073,2026-05-25,Cappuccino,Montréal,2,5.00,EUR,
1074,2026-05-14,Cappuccino,Paris,2,5.10,EUR,
1075,2026-05-14,Cappuccino,Lyon,3,5.00,EUR,
1076,2026-05-26,Moka,Montréal,1,5.20,EUR,
1077,2026-05-07,Latte,Lyon,1,,EUR,
1078,2026-05-10,Cappuccino,Montréal,3,4.90,EUR,
